day,identifier,nb_hits,nb_visits,nb_product_pages,nb_orders,orders_amount,nb_touchpoints
2019-09-19,3,2033205,361114,585496,52306,2390805.38,"{""direct"":314162,""email"":5566,""organic"":237658,""paid_search"":11334}"
2019-07-11,3,1531288,210496,534207,73008,3633240.69,"{""direct"":395768,""email"":5544,""organic"":175175,""paid_search"":37321}"
2019-09-06,3,1375768,195998,478628,62844,3031234.7,"{""direct"":334224,""email"":10600,""organic"":172251,""paid_search"":40340}"
2020-01-04,3,1469639,230742,430508,69520,4042856.18,"{""direct"":251919,""email"":2106,""organic"":156818,""paid_search"":9981}"
2019-07-07,3,1942143,238821,708405,14874,967190.18,"{""direct"":520046,""email"":4613,""organic"":238443,""paid_search"":36435}"
2019-05-28,3,1328263,182629,467721,33419,1566518.88,"{""direct"":324694,""email"":10982,""organic"":162928,""paid_search"":35923}"
2019-09-03,3,1456545,202813,503181,59550,2797102.5,"{""direct"":367483,""email"":5845,""organic"":178486,""paid_search"":44454}"
2019-08-08,3,1504494,211960,519983,115257,6497443.11,"{""direct"":365470,""email"":3622,""organic"":172735,""paid_search"":39507}"
2019-09-23,3,2222451,363811,659865,22622,1065904.08,"{""direct"":415703,""email"":6441,""organic"":189787,""paid_search"":32809}"
2020-03-08,3,1314241,198189,419618,7398,489545.08,"{""direct"":302396,""email"":2108,""organic"":67387,""paid_search"":42838}"
2019-10-22,3,1879330,333585,581180,53308,2622174.85,"{""direct"":330954,""email"":10658,""organic"":155761,""paid_search"":69431}"
2019-04-16,3,1204458,160622,432140,54642,2694152.56,"{""direct"":298567,""email"":4484,""organic"":145107,""paid_search"":34203}"
2019-11-23,3,2395203,403452,727078,93593,5445465.51,"{""direct"":404808,""email"":11112,""organic"":229243,""paid_search"":63180}"
2019-04-26,3,1155870,159696,415531,42529,2048514.77,"{""direct"":278183,""email"":5907,""organic"":139501,""paid_search"":31430}"
2020-04-04,3,2021688,255102,570605,7423,689217.12,"{""direct"":460110,""email"":5208,""organic"":76329,""paid_search"":22451}"
2019-08-25,3,1388020,191604,494310,5549,364347.91,"{""direct"":335295,""email"":3398,""organic"":150643,""paid_search"":44036}"
2020-05-07,3,2869604,391240,767610,9262,4461069.47,"{""direct"":591775,""email"":10892,""organic"":110586,""paid_search"":46075}"
2019-12-02,3,1829604,299961,536753,89613,5177358.74,"{""direct"":272870,""email"":5922,""organic"":182435,""paid_search"":61225}"
2020-04-01,3,1651629,217743,451421,5676,531485.32,"{""direct"":363428,""email"":4295,""organic"":57544,""paid_search"":20709}"
2019-04-17,3,1211634,163821,437709,36422,1742146.04,"{""direct"":294758,""email"":4864,""organic"":148916,""paid_search"":36153}"
2019-12-03,3,1646783,269836,484234,32528,1752340.15,"{""direct"":246283,""email"":4102,""organic"":162482,""paid_search"":58843}"
2020-05-01,3,3113682,387567,857926,12684,7483351.92,"{""direct"":665662,""email"":15625,""organic"":111065,""paid_search"":58246}"
2019-04-23,3,1352206,178777,496403,92530,5004647.56,"{""direct"":339914,""email"":4154,""organic"":168512,""paid_search"":34108}"
2020-04-27,3,2659923,354351,701513,7019,9833721.380000001,"{""direct"":550638,""email"":14204,""organic"":88245,""paid_search"":42458}"
2019-12-19,3,1279129,220391,365333,43478,2547809.8,"{""direct"":189508,""email"":4876,""organic"":115045,""paid_search"":45047}"
2019-06-24,3,1616859,219178,573094,61420,2832933.04,"{""direct"":422122,""email"":3524,""organic"":200218,""paid_search"":31742}"
2020-04-23,3,2364253,311747,621654,7985,36680648.090000004,"{""direct"":494164,""email"":8813,""organic"":74868,""paid_search"":39158}"
2019-04-29,3,1285669,172554,459854,33719,1690152.5,"{""direct"":317683,""email"":4486,""organic"":159063,""paid_search"":32359}"
2019-10-29,3,1920984,338535,585919,83527,4172103.22,"{""direct"":334732,""email"":6671,""organic"":167744,""paid_search"":61579}"
2020-03-11,3,1038874,172665,323167,35739,1683931.22,"{""direct"":233352,""email"":2709,""organic"":49945,""paid_search"":31681}"
2019-05-08,3,1774832,228341,637399,63583,3810094.15,"{""direct"":430713,""email"":5608,""organic"":226577,""paid_search"":38373}"
2020-05-10,3,3541833,482187,1044104,9352,6122624.75,"{""direct"":800978,""email"":9481,""organic"":184909,""paid_search"":39818}"
2019-10-16,3,2008114,330415,609617,55039,2584418.36,"{""direct"":358384,""email"":6046,""organic"":176143,""paid_search"":53172}"
2019-11-07,3,1956130,317766,599190,49056,2405280.88,"{""direct"":327530,""email"":15883,""organic"":176400,""paid_search"":65015}"
2019-06-15,3,1384181,192575,487707,108568,6126223.51,"{""direct"":344127,""email"":3086,""organic"":163421,""paid_search"":30429}"
2019-04-28,3,1455960,176122,536334,4868,307683.41,"{""direct"":362353,""email"":3048,""organic"":185452,""paid_search"":32376}"
2019-11-26,3,2175112,374032,651422,33080,1726738.96,"{""direct"":364621,""email"":4253,""organic"":204847,""paid_search"":59807}"
2019-12-24,3,772605,142246,218545,82795,5219057.25,"{""direct"":125962,""email"":2078,""organic"":76491,""paid_search"":7728}"
2020-01-11,3,1927551,296987,556069,128159,8112384.15,"{""direct"":321673,""email"":11777,""organic"":185053,""paid_search"":26307}"
2019-11-14,3,2204444,353066,662179,73470,3665261.23,"{""direct"":375650,""email"":11610,""organic"":210894,""paid_search"":48565}"
2019-05-24,3,1097620,157374,383179,41062,1969507.97,"{""direct"":260513,""email"":3831,""organic"":137366,""paid_search"":28996}"
2019-08-20,3,1477861,202330,519994,120351,7135498.8,"{""direct"":366995,""email"":5765,""organic"":165780,""paid_search"":38951}"
2019-11-02,3,2044535,353794,626225,88807,4860224.07,"{""direct"":350084,""email"":4399,""organic"":182835,""paid_search"":71953}"
2019-12-16,3,1715061,277349,482176,102261,5959520.29,"{""direct"":252383,""email"":6959,""organic"":154657,""paid_search"":55907}"
2019-09-14,3,2487202,486292,679074,132174,7415023.31,"{""direct"":256452,""email"":2342,""organic"":392950,""paid_search"":1747}"
2019-11-13,3,2352171,374784,705965,4473,225561.3,"{""direct"":405820,""email"":7780,""organic"":225231,""paid_search"":51828}"
2019-12-14,3,1760509,294405,507134,111593,7430772.69,"{""direct"":263730,""email"":11063,""organic"":157503,""paid_search"":62757}"
2020-05-11,3,3562566,530908,965399,59498,7494745.22,"{""direct"":744451,""email"":10363,""organic"":170502,""paid_search"":31089}"
2019-07-26,3,1394618,192467,490374,40532,2025333.45,"{""direct"":348502,""email"":3446,""organic"":170024,""paid_search"":22507}"
2019-11-22,3,1955534,340817,590516,43852,2247647.21,"{""direct"":325929,""email"":6838,""organic"":183594,""paid_search"":58263}"
2020-03-05,3,1102965,179793,334175,23114,1123927.04,"{""direct"":244306,""email"":4694,""organic"":55279,""paid_search"":24828}"
2019-08-06,3,1797328,239625,621613,143661,8383953.87,"{""direct"":452925,""email"":2529,""organic"":208922,""paid_search"":43420}"
2019-06-14,3,1185755,169497,410426,50933,2425030.48,"{""direct"":290911,""email"":3907,""organic"":139233,""paid_search"":29379}"
2019-08-28,3,1520748,212623,526847,124837,7135560.74,"{""direct"":372012,""email"":5797,""organic"":165714,""paid_search"":51068}"
2020-03-19,3,940475,159121,236348,2130,209777.62,"{""direct"":182494,""email"":2333,""organic"":26334,""paid_search"":21773}"
2020-04-05,3,2179122,272377,635137,6337,480582.96,"{""direct"":514951,""email"":4629,""organic"":88739,""paid_search"":20253}"
2019-11-08,3,1872682,308510,574199,50943,2518621.41,"{""direct"":315641,""email"":10435,""organic"":170558,""paid_search"":63177}"
2019-10-25,3,1633096,305771,505508,39483,1929667.07,"{""direct"":280403,""email"":14230,""organic"":132202,""paid_search"":65501}"
2019-05-23,3,1134836,159451,400046,31649,1465732.57,"{""direct"":283153,""email"":4934,""organic"":142126,""paid_search"":27846}"
2019-09-17,3,2256415,416337,610823,45780,2114829.73,"{""direct"":209264,""email"":9436,""organic"":358097,""paid_search"":9732}"
2020-02-19,3,1118648,177972,334274,35297,1732303.47,"{""direct"":194272,""email"":3076,""organic"":106301,""paid_search"":22890}"
2019-09-04,3,1636377,222896,568460,87203,4283156.7,"{""direct"":417895,""email"":5108,""organic"":205933,""paid_search"":47752}"
2020-04-13,3,2877112,347242,828793,6942,4805005.88,"{""direct"":673711,""email"":6745,""organic"":110758,""paid_search"":29869}"
2019-09-27,3,1925316,328566,574020,54234,2615463.5,"{""direct"":346410,""email"":7300,""organic"":155512,""paid_search"":52434}"
2019-10-12,3,1940741,340792,589461,103228,5559936.31,"{""direct"":350033,""email"":3696,""organic"":163127,""paid_search"":61161}"
2020-03-07,3,1222909,198899,381016,71438,4004307,"{""direct"":273001,""email"":4099,""organic"":63879,""paid_search"":35052}"
2019-06-12,3,1510618,202157,518570,58579,2786968,"{""direct"":385330,""email"":4118,""organic"":187849,""paid_search"":23123}"
2019-05-12,3,1367590,173010,500599,5207,325095.51,"{""direct"":340390,""email"":3625,""organic"":173983,""paid_search"":32124}"
2019-09-08,3,1842419,233325,649769,13837,931827.7,"{""direct"":462356,""email"":2581,""organic"":240013,""paid_search"":57542}"
2019-04-27,3,1358693,182359,493806,77395,4391861.14,"{""direct"":325661,""email"":4847,""organic"":167761,""paid_search"":37526}"
2019-10-31,3,1643589,298896,503310,56236,2879607.21,"{""direct"":287159,""email"":5564,""organic"":144047,""paid_search"":51220}"
2019-06-01,3,1404808,193204,495442,60854,3385873.55,"{""direct"":344044,""email"":2513,""organic"":174084,""paid_search"":27193}"
2019-10-08,3,1946262,320953,576901,71657,3376331.2,"{""direct"":352689,""email"":5530,""organic"":165790,""paid_search"":42310}"
2020-04-29,3,2305974,292809,583972,18612,68652926.920000002,"{""direct"":455950,""email"":30877,""organic"":76577,""paid_search"":15550}"
2020-03-30,3,1509041,213307,417877,2370,188682.13,"{""direct"":321985,""email"":4378,""organic"":48027,""paid_search"":37935}"
2019-07-29,3,1846538,243483,651001,47553,2538251.22,"{""direct"":467721,""email"":3543,""organic"":217115,""paid_search"":47816}"
2019-04-19,3,1115407,155006,404492,52085,2589990.52,"{""direct"":263208,""email"":4269,""organic"":133468,""paid_search"":34224}"
2020-01-24,3,1170634,184625,347034,43222,2134579.49,"{""direct"":200341,""email"":3345,""organic"":109190,""paid_search"":26597}"
2019-05-31,3,1411796,195406,489361,96275,5413588.75,"{""direct"":339796,""email"":3286,""organic"":170810,""paid_search"":26898}"
2019-11-15,3,2204338,356296,666597,37310,1934078.76,"{""direct"":379131,""email"":17089,""organic"":208633,""paid_search"":47621}"
2019-08-19,3,1586902,220288,555456,62904,3325510.59,"{""direct"":383079,""email"":3172,""organic"":183522,""paid_search"":43427}"
2020-03-20,3,1114656,176973,282630,4233,392399.54,"{""direct"":218566,""email"":4195,""organic"":31728,""paid_search"":24443}"
2019-08-26,3,1588564,219215,559343,31702,1616031.13,"{""direct"":394068,""email"":4028,""organic"":181072,""paid_search"":42789}"
2020-03-21,3,1205318,184681,318266,4649,392863.27,"{""direct"":242737,""email"":2577,""organic"":35872,""paid_search"":32837}"
2019-10-30,3,1871403,334020,572960,71344,3606066.4,"{""direct"":327579,""email"":5096,""organic"":163834,""paid_search"":61763}"
2019-07-06,3,1689792,229417,606724,147790,9033501.16,"{""direct"":438586,""email"":9670,""organic"":200144,""paid_search"":36467}"
2020-01-17,3,1323454,211254,386800,36375,1861921.4,"{""direct"":214103,""email"":8979,""organic"":125378,""paid_search"":28347}"
2019-05-06,3,1297540,173762,459725,86534,4543750.06,"{""direct"":324006,""email"":4133,""organic"":162269,""paid_search"":28703}"
2019-12-29,3,1329178,203250,391529,11273,769968.91,"{""direct"":229037,""email"":1942,""organic"":146941,""paid_search"":5647}"
2020-04-30,3,2836318,370165,733527,11467,8373322.92,"{""direct"":570811,""email"":23223,""organic"":91873,""paid_search"":40553}"
2019-06-28,3,1711309,227603,608127,89500,4413441.15,"{""direct"":468084,""email"":6421,""organic"":193820,""paid_search"":33060}"
2019-12-28,3,1252494,204377,365579,57476,3313284.44,"{""direct"":212115,""email"":1896,""organic"":137605,""paid_search"":5861}"
2019-07-23,3,1643722,222118,582385,46766,2247566.66,"{""direct"":429230,""email"":2811,""organic"":191496,""paid_search"":33718}"
2019-07-02,3,1820324,235293,638237,78059,3860127.99,"{""direct"":493895,""email"":4701,""organic"":213964,""paid_search"":33407}"
2019-08-11,3,1517708,200940,540383,6973,406872.71,"{""direct"":361868,""email"":1934,""organic"":176179,""paid_search"":43126}"
2019-06-10,3,1951215,249842,674475,76056,4620451.42,"{""direct"":484969,""email"":3152,""organic"":247271,""paid_search"":25757}"
